Soil_Type,Duration,Area,N,P,K,pH,Moisture,Crop
Red,Long,1.58,76,57,47,6.51,23,Cotton
Loamy,Long,0.83,,,,,,Onion
Sandy,Long,2.83,20,11,80,5.94,49,Millet
Loamy,Long,2.59,,,,,,Spinach
Sandy,Long,2.19,35,42,44,5.93,40,Millet
Sandy,Long,4.01,96,20,65,6.36,26,Carrot
Clay,Short,4.19,38,69,71,7.01,48,Wheat
Sandy,Long,4.64,104,14,76,6.41,12,Carrot
Loamy,Short,4.11,113,18,80,5.6,38,Tomato
Red,Long,0.54,54,54,100,5.96,51,Cotton
Sandy,Long,0.75,113,25,36,7.12,27,Millet
Loamy,Long,4.51,,,,,,Tomato
Clay,Long,1.57,,,,,,Chili
Loamy,Long,3.38,93,40,15,5.82,19,Tomato
Clay,Long,3.5,,,,,,Wheat
Clay,Long,1.61,63,50,35,6.52,35,Chili
Loamy,Short,3.62,94,29,75,5.75,30,Spinach
Clay,Short,2.95,,,,,,Rice
Loamy,Short,4.78,52,77,16,7.22,27,Onion
Clay,Long,3.7,,,,,,Wheat
Red,Short,2.68,,,,,,Maize
Loamy,Short,3.12,,,,,,Onion
Red,Short,2.04,,,,,,Sugarcane
Red,Long,3.29,,,,,,Maize
Sandy,Short,4.56,47,79,78,5.7,60,Millet
Red,Long,1.94,72,20,92,5.52,48,Cotton
Clay,Long,2.69,65,28,10,5.92,52,Chili
Loamy,Short,4.66,,,,,,Onion
Clay,Short,4.64,,,,,,Wheat
Sandy,Long,4.32,,,,,,Carrot
Clay,Long,2.23,20,80,12,5.67,11,Rice
Clay,Long,2.86,55,66,29,6.33,13,Wheat
Sandy,Long,1.81,,,,,,Groundnut
Clay,Short,0.56,41,73,60,6.59,25,Rice
Red,Long,4.13,,,,,,Sugarcane
Sandy,Short,1.71,,,,,,Millet
Clay,Short,4.8,76,42,67,6.38,47,Chili
Clay,Long,3.08,104,31,56,7.09,21,Rice
Clay,Long,0.76,115,79,33,7.41,42,Wheat
Sandy,Short,3.3,43,63,49,7.46,32,Carrot
Clay,Short,3.61,,,,,,Chili
Loamy,Short,4.33,28,55,53,6.33,32,Onion
Clay,Short,4.14,,,,,,Chili
Sandy,Short,1.43,33,43,14,5.79,22,Groundnut
Loamy,Long,2.28,63,43,85,6.14,21,Tomato
Clay,Short,3.64,,,,,,Rice
Clay,Long,4.73,52,67,56,6.1,20,Rice
Clay,Long,4.44,,,,,,Rice
Loamy,Short,2.12,,,,,,Tomato
Loamy,Short,3.9,,,,,,Onion
